year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,1,30792,30194,"Buffalo, NY","Dallas/Fort Worth, TX",10792,11298,BUF,DFW,1212,328.99,"(39.945422, -78.64671)","(40.11086, -77.035636)",202341079211298BUFDFW,Post-Pandemic
2025,1,31703,34057,"New York City, NY (Metropolitan Area)","Portland, OR",12953,14057,LGA,PDX,2482,366.78,"(40.123164, -75.333718)","(45.516018, -122.681425)",202411295314057LGAPDX,Post-Pandemic
2025,1,32467,31650,"Miami, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",11697,13487,FLL,MSP,1501,236.66,"(44.977479, -93.264346)","(44.977479, -93.264346)",202411169713487FLLMSP,Post-Pandemic
2025,1,31603,32457,"Eugene, OR","San Francisco, CA (Metropolitan Area)",11603,13796,EUG,OAK,471,141.38,"(37.533089, -75.823024)","(37.78008, -122.420168)",202411160313796EUGOAK,Post-Pandemic
2025,1,32467,31703,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",11697,12197,FLL,HPN,1118,194.93,"(44.977479, -93.264346)","(40.123164, -75.333718)",202411169712197FLLHPN,Post-Pandemic
2025,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",12391,14771,ISP,SFO,2619,312.24,"(40.123164, -75.333718)","(37.78008, -122.420168)",202331239114771ISPSFO,Post-Pandemic
2025,1,30325,33667,"Denver, CO","Norfolk, VA (Metropolitan Area)",11292,13931,DEN,ORF,1553,266.93,"(39.738453, -104.984853)","(36.846164, -76.285913)",202411129213931DENORF,Post-Pandemic
2025,1,32457,30852,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14771,11278,SFO,DCA,2457,373.06,"(37.78008, -122.420168)","(38.892062, -77.019912)",202411477111278SFODCA,Post-Pandemic
2025,1,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",13891,11697,ONT,FLL,2343,345.46,"(34.052238, -118.243344)","(44.977479, -93.264346)",202411389111697ONTFLL,Post-Pandemic
2025,1,30615,31453,"El Paso, TX","Houston, TX",11540,12266,ELP,IAH,677,218.76,"(31.76006, -106.492257)","(29.760803, -95.369506)",202411154012266ELPIAH,Post-Pandemic
2025,1,33304,30466,"Minot, ND","Phoenix, AZ",13433,10466,MOT,AZA,1165,72.54,"(40.753259, -74.003804)","(30.406931, -87.217578)",202111343310466MOTAZA,During-Pandemic
2025,1,30431,31703,"Asheville, NC","New York City, NY (Metropolitan Area)",10431,12478,AVL,JFK,617,276.42,"(35.595889, -82.550039)","(40.123164, -75.333718)",202411043112478AVLJFK,Post-Pandemic
2025,1,30721,31650,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",14307,13487,PVD,MSP,1124,206.67,"(42.358894, -71.056742)","(44.977479, -93.264346)",202411430713487PVDMSP,Post-Pandemic
2025,1,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",12197,13931,HPN,ORF,318,130.68,"(40.123164, -75.333718)","(36.846164, -76.285913)",202411219713931HPNORF,Post-Pandemic
2025,1,30423,30647,"Austin, TX","Cleveland, OH (Metropolitan Area)",10423,10874,AUS,CAK,1174,263.14,"(30.264979, -97.746598)","(41.505546, -81.6915)",202241042310874AUSCAK,During-Pandemic
2025,1,31714,32457,"Fort Myers, FL","San Francisco, CA (Metropolitan Area)",14635,14831,RSW,SJC,2481,363.11,"(40.253979, -103.801495)","(37.78008, -122.420168)",202411463514831RSWSJC,Post-Pandemic
2025,1,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",14908,14771,SNA,SFO,372,195.04,"(34.052238, -118.243344)","(37.78008, -122.420168)",202411490814771SNASFO,Post-Pandemic
2025,1,33198,32575,"Kansas City, MO","Los Angeles, CA (Metropolitan Area)",13198,10800,MCI,BUR,1363,285.96,"(39.099792, -94.578559)","(34.052238, -118.243344)",202411319810800MCIBUR,Post-Pandemic
2025,1,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",12954,13303,LGB,MIA,2343,160.3,"(34.052238, -118.243344)","(44.977479, -93.264346)",202411295413303LGBMIA,Post-Pandemic
2025,1,30994,30194,"Charleston, SC","Dallas/Fort Worth, TX",10994,11298,CHS,DFW,987,284.87,"(32.77647, -79.931027)","(40.11086, -77.035636)",202411099411298CHSDFW,Post-Pandemic
2025,1,30977,34100,"Chicago, IL","Philadelphia, PA",13930,14100,ORD,PHL,678,188.23,"(41.775002, -87.696388)","(39.951061, -75.16562)",202411393014100ORDPHL,Post-Pandemic
2025,1,30977,31423,"Chicago, IL","Des Moines, IA",13232,11423,MDW,DSM,306,134.38,"(41.775002, -87.696388)","(41.588822, -93.620309)",202331323211423MDWDSM,Post-Pandemic
2025,1,30408,30466,"Appleton, WI","Phoenix, AZ",10408,14107,ATW,PHX,1463,480.76,"(44.261982, -88.40724)","(30.406931, -87.217578)",202411040814107ATWPHX,Post-Pandemic
2025,1,30198,30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",14122,12264,PIT,IAD,210,202.46,"(40.442169, -79.994945)","(38.892062, -77.019912)",202411412212264PITIAD,Post-Pandemic
2025,1,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14908,11278,SNA,DCA,2329,377.94,"(34.052238, -118.243344)","(38.892062, -77.019912)",202411490811278SNADCA,Post-Pandemic
2025,1,30198,33195,"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",14122,14112,PIT,PIE,878,106.02,"(40.442169, -79.994945)","(37.8606, -78.804199)",202411412214112PITPIE,Post-Pandemic
2025,1,30721,34100,"Boston, MA (Metropolitan Area)","Philadelphia, PA",13296,14100,MHT,PHL,289,267.82,"(42.358894, -71.056742)","(39.951061, -75.16562)",202411329614100MHTPHL,Post-Pandemic
2025,1,34492,30852,"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)",14492,11278,RDU,DCA,255,177.36,"(42.673348, -72.179683)","(38.892062, -77.019912)",202411449211278RDUDCA,Post-Pandemic
2025,1,30325,32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",11292,12892,DEN,LAX,862,188.83,"(39.738453, -104.984853)","(34.052238, -118.243344)",202411129212892DENLAX,Post-Pandemic
2025,1,30792,32457,"Buffalo, NY","San Francisco, CA (Metropolitan Area)",10792,13796,BUF,OAK,2309,353.43,"(39.945422, -78.64671)","(37.78008, -122.420168)",202331079213796BUFOAK,Post-Pandemic
2025,1,34614,32457,"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",14869,14831,SLC,SJC,599,207.82,"(40.758478, -111.888142)","(37.78008, -122.420168)",202411486914831SLCSJC,Post-Pandemic
2025,1,30721,30559,"Boston, MA (Metropolitan Area)","Seattle, WA",14307,14747,PVD,SEA,2496,385.83,"(42.358894, -71.056742)","(47.603229, -122.33028)",202411430714747PVDSEA,Post-Pandemic
2025,1,30372,31703,"Aspen, CO","New York City, NY (Metropolitan Area)",10372,12953,ASE,LGA,1750,596.04,"(39.190665, -106.819201)","(40.123164, -75.333718)",202411037212953ASELGA,Post-Pandemic
2025,1,30721,30194,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",13296,11259,MHT,DAL,1562,248.79,"(42.358894, -71.056742)","(40.11086, -77.035636)",202411329611259MHTDAL,Post-Pandemic
2025,1,32575,33667,"Los Angeles, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",10800,13931,BUR,ORF,2371,402.59,"(34.052238, -118.243344)","(36.846164, -76.285913)",202411080013931BURORF,Post-Pandemic
2025,1,31714,31703,"Fort Myers, FL","New York City, NY (Metropolitan Area)",14635,11618,RSW,EWR,1102,202.84,"(40.253979, -103.801495)","(40.123164, -75.333718)",202411463511618RSWEWR,Post-Pandemic
2025,1,33316,30466,"Omaha, NE","Phoenix, AZ",13871,10466,OMA,AZA,1037,109.26,"(46.07035, -93.666319)","(30.406931, -87.217578)",202411387110466OMAAZA,Post-Pandemic
