year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,1,30325,33195,"Denver, CO","Tampa, FL (Metropolitan Area)",11292,15304,DEN,TPA,1506,228.75,"39.756924270957846, -104.97850757879121","28.042586526893363, -82.48802351156911",202411129215304DENTPA,Post-Pandemic
2025,1,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",10800,11278,BUR,DCA,2329,315.77,"33.79226917070069, -118.204909485967","39.06854619558678, -77.28209870558013",202411080011278BURDCA,Post-Pandemic
2025,1,34321,30852,"Portland, ME","Washington, DC (Metropolitan Area)",14321,12264,PWM,IAD,493,231.55,"43.666733658223514, -70.2987868945926","39.06854619558678, -77.28209870558013",202411432112264PWMIAD,Post-Pandemic
2025,1,30792,30194,"Buffalo, NY","Dallas/Fort Worth, TX",10792,11298,BUF,DFW,1212,328.99,"42.88848453606787, -78.88506497736563","32.78949295097016, -96.9610454262068",202341079211298BUFDFW,Post-Pandemic
2025,1,31703,34057,"New York City, NY (Metropolitan Area)","Portland, OR",12953,14057,LGA,PDX,2482,366.78,"40.722551776084316, -73.97924863938653","45.51875574347582, -122.68199377591797",202411295314057LGAPDX,Post-Pandemic
2025,1,32467,31650,"Miami, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",11697,13487,FLL,MSP,1501,236.66,"25.818657926992138, -80.30089992008288","44.97932251131572, -93.27385685659087",202411169713487FLLMSP,Post-Pandemic
2025,1,31603,32457,"Eugene, OR","San Francisco, CA (Metropolitan Area)",11603,13796,EUG,OAK,471,141.38,"44.05816808494988, -123.0981620756156","37.71088023891693, -122.08942035984728",202411160313796EUGOAK,Post-Pandemic
2025,1,32467,31703,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",11697,12197,FLL,HPN,1118,194.93,"25.818657926992138, -80.30089992008288","40.722551776084316, -73.97924863938653",202411169712197FLLHPN,Post-Pandemic
2025,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",12391,14771,ISP,SFO,2619,312.24,"40.722551776084316, -73.97924863938653","37.71088023891693, -122.08942035984728",202331239114771ISPSFO,Post-Pandemic
2025,1,30325,33667,"Denver, CO","Norfolk, VA (Metropolitan Area)",11292,13931,DEN,ORF,1553,266.93,"39.756924270957846, -104.97850757879121","36.8740444347547, -76.21004560086016",202411129213931DENORF,Post-Pandemic
2025,1,32457,30852,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",14771,11278,SFO,DCA,2457,373.06,"37.71088023891693, -122.08942035984728","39.06854619558678, -77.28209870558013",202411477111278SFODCA,Post-Pandemic
2025,1,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",13891,11697,ONT,FLL,2343,345.46,"33.79226917070069, -118.204909485967","25.818657926992138, -80.30089992008288",202411389111697ONTFLL,Post-Pandemic
2025,1,30615,31453,"El Paso, TX","Houston, TX",11540,12266,ELP,IAH,677,218.76,"31.76460427582054, -106.48111409217167","29.75402924471362, -95.25854681876497",202411154012266ELPIAH,Post-Pandemic
2025,1,33304,30466,"Minot, ND","Phoenix, AZ",13433,10466,MOT,AZA,1165,72.54,"48.23111100886146, -101.3097765718957","33.45644253857997, -112.08747472975207",202111343310466MOTAZA,During-Pandemic
2025,1,30431,31703,"Asheville, NC","New York City, NY (Metropolitan Area)",10431,12478,AVL,JFK,617,276.42,"35.5767728235108, -82.57762272922898","40.722551776084316, -73.97924863938653",202411043112478AVLJFK,Post-Pandemic
2025,1,30721,31650,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",14307,13487,PVD,MSP,1124,206.67,"42.354802625389624, -71.11763566666443","44.97932251131572, -93.27385685659087",202411430713487PVDMSP,Post-Pandemic
2025,1,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",12197,13931,HPN,ORF,318,130.68,"40.722551776084316, -73.97924863938653","36.8740444347547, -76.21004560086016",202411219713931HPNORF,Post-Pandemic
2025,1,30423,30647,"Austin, TX","Cleveland, OH (Metropolitan Area)",10423,10874,AUS,CAK,1174,263.14,"30.292943195253578, -97.7604933852142","41.49657498253431, -81.70037642525823",202241042310874AUSCAK,During-Pandemic
2025,1,31714,32457,"Fort Myers, FL","San Francisco, CA (Metropolitan Area)",14635,14831,RSW,SJC,2481,363.11,"26.63609003192515, -81.85573855366816","37.71088023891693, -122.08942035984728",202411463514831RSWSJC,Post-Pandemic
2025,1,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",14908,14771,SNA,SFO,372,195.04,"33.79226917070069, -118.204909485967","37.71088023891693, -122.08942035984728",202411490814771SNASFO,Post-Pandemic
2025,1,33198,32575,"Kansas City, MO","Los Angeles, CA (Metropolitan Area)",13198,10800,MCI,BUR,1363,285.96,"39.09727422425539, -94.59193653569932","33.79226917070069, -118.204909485967",202411319810800MCIBUR,Post-Pandemic
2025,1,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",12954,13303,LGB,MIA,2343,160.3,"33.79226917070069, -118.204909485967","25.818657926992138, -80.30089992008288",202411295413303LGBMIA,Post-Pandemic
2025,1,30994,30194,"Charleston, SC","Dallas/Fort Worth, TX",10994,11298,CHS,DFW,987,284.87,"32.77566489249234, -79.95065494991243","32.78949295097016, -96.9610454262068",202411099411298CHSDFW,Post-Pandemic
